"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ANNUAL REVIEW OF GENETICS","0066-4197","1545-2948","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Genetics & Heredity"
"ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS","1527-8204","1545-293X","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Genetics & Heredity"
"ANNUAL REVIEW OF IMMUNOLOGY","0732-0582","1545-3278","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Immunology"
"ANNUAL REVIEW OF MARINE SCIENCE","1941-1405","1941-1405","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Geochemistry & Geophysics | Marine & Freshwater Biology | Oceanography"
"ANNUAL REVIEW OF MEDICINE","0066-4219","1545-326X","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Medicine, Research & Experimental"
"ANNUAL REVIEW OF MICROBIOLOGY","0066-4227","1545-3251","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Microbiology"
"ANNUAL REVIEW OF NEUROSCIENCE","0147-006X","1545-4126","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Neurosciences"
"ANNUAL REVIEW OF NUTRITION","0199-9885","1545-4312","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Nutrition & Dietetics"
"ANNUAL REVIEW OF PATHOLOGY-MECHANISMS OF DISEASE","1553-4006","1553-4014","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Pathology"
"ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY","0362-1642","1545-4304","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Pharmacology & Pharmacy | Toxicology"
"ANNUAL REVIEW OF PHYSIOLOGY","0066-4278","1545-1585","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Physiology"
"ANNUAL REVIEW OF PHYTOPATHOLOGY","0066-4286","1545-2107","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Plant Sciences"
"ANNUAL REVIEW OF PLANT BIOLOGY","1543-5008","1545-2123","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Plant Sciences"
"ANNUAL REVIEW OF PSYCHOLOGY","0066-4308","1545-2085","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Psychology"
"ANNUAL REVIEW OF PUBLIC HEALTH","0163-7525","1545-2093","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Public, Environmental & Occupational Health"
"ANNUAL REVIEW OF VIROLOGY","2327-056X","2327-0578","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Virology"
"ANNUAL REVIEW OF VISION SCIENCE","2374-4642","2374-4650","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Ophthalmology | Neurosciences"
"ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY","1871-5206","1875-5992","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","English","Chemistry, Medicinal | Oncology"
"ANTI-INFECTIVE AGENTS","2211-3525","2211-3533","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","","Infectious Diseases | Chemistry, Medicinal"
"ANTI-INFLAMMATORY & ANTI-ALLERGY AGENTS IN MEDICINAL CHEMISTRY","1871-5230","1875-614X","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","","Allergy | Chemistry, Medicinal | Immunology"
"ARCTIC SCIENCE CONFERENCE ABSTRACTS","","","AMER ASSOC ADVANCEMENT SCIENCE","1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005","","Multidisciplinary Sciences"
"AUTOIMMUNITY REVIEWS","1568-9972","1873-0183","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Immunology"
"BIOANALYSIS","1757-6180","1757-6199","FUTURE SCI LTD","UNITED HOUSE, 2 ALBERT PL, LONDON, ENGLAND, N3 1QB","English","Chemistry, Analytical | Biochemical Research Methods"
"BIODRUGS","1173-8804","1179-190X","ADIS INT LTD","5 THE WAREHOUSE WAY, NORTHCOTE, NEW ZEALAND, AUCKLAND, 0627","English","Pharmacology & Pharmacy | Oncology | Immunology"
"BIOESSAYS","0265-9247","1521-1878","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Biology | Biochemistry & Molecular Biology"
"BIOLOGICAL REVIEWS","1464-7931","1469-185X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Biology"
"BIOLOGICAL THEORY","1555-5542","1555-5550","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","","Biology"
"BIOMARKERS IN MEDICINE","1752-0363","1752-0371","FUTURE MEDICINE LTD","UNITEC HOUSE, 3RD FLOOR, 2 ALBERT PLACE, FINCHLEY CENTRAL, LONDON, ENGLAND, N3 1QB","English","Medicine, Research & Experimental"
"BIOPHYSICAL REVIEWS AND LETTERS","1793-0480","1793-7035","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","","Biophysics"
"BIOTECHNOLOGY ADVANCES","0734-9750","1873-1899","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Biotechnology & Applied Microbiology"
"BIOTECHNOLOGY & GENETIC ENGINEERING REVIEWS","0264-8725","2046-5556","TAYLOR & FRANCIS LTD","11 NEW FETTER LANE, LONDON, ENGLAND, EC4P 4EE","English","Biotechnology & Applied Microbiology | Genetics & Heredity"
"BLOOD REVIEWS","0268-960X","1532-1681","CHURCHILL LIVINGSTONE","JOURNAL PRODUCTION DEPT, ROBERT STEVENSON HOUSE, 1-3 BAXTERS PLACE, LEITH WALK, EDINBURGH, SCOTLAND, MIDLOTHIAN, EH1 3AF","English","Hematology"
"BRIEFINGS IN FUNCTIONAL GENOMICS","2041-2649","2041-2657","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Genetics & Heredity | Biotechnology & Applied Microbiology"
"BRITISH MEDICAL BULLETIN","0007-1420","1471-8391","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Medicine, General & Internal"
"BRITISH POULTRY ABSTRACTS","1746-6202","1746-6210","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Agriculture, Dairy & Animal Science"
"CANCER AND METASTASIS REVIEWS","0167-7659","1573-7233","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Oncology"
"CANCER TREATMENT REVIEWS","0305-7372","1532-1967","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Oncology"
"CARDIOLOGY CLINICS","0733-8651","1558-2264","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Cardiac & Cardiovascular Systems"
"CARDIOVASCULAR & HEMATOLOGICAL AGENTS IN MEDICINAL CHEMISTRY","1871-5257","1875-6182","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","","Pharmacology & Pharmacy | Chemistry, Medicinal"
"CARDIOVASCULAR & HEMATOLOGICAL DISORDERS-DRUG TARGETS","1871-529X","2212-4063","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","","Pharmacology & Pharmacy | Hematology | Cardiac & Cardiovascular Systems"
"CELLULAR AND MOLECULAR LIFE SCIENCES","1420-682X","1420-9071","SPRINGER BASEL AG","PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052","English","Biochemistry & Molecular Biology | Cell Biology"
"CENTRAL NERVOUS SYSTEM AGENTS IN MEDICINAL CHEMISTRY","1871-5249","1875-6166","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","","Pharmacology & Pharmacy | Neurosciences | Chemistry, Medicinal"
"CHEMICAL SOCIETY REVIEWS","0306-0012","1460-4744","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English","Chemistry, Multidisciplinary"
"CLINICAL MICROBIOLOGY REVIEWS","0893-8512","1098-6618","AMER SOC MICROBIOLOGY","1752 N ST NW, WASHINGTON, USA, DC, 20036-2904","English","Microbiology"
"CLINICAL PHARMACOKINETICS","0312-5963","1179-1926","ADIS INT LTD","5 THE WAREHOUSE WAY, NORTHCOTE, NEW ZEALAND, AUCKLAND, 0627","English","Pharmacology & Pharmacy"
"CLINICS IN LABORATORY MEDICINE","0272-2712","1557-9832","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Medical Laboratory Technology"
"CLINICS IN PERINATOLOGY","0095-5108","1557-9840","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Pediatrics | Obstetrics & Gynecology"
"CNS DRUGS","1172-7047","1179-1934","ADIS INT LTD","5 THE WAREHOUSE WAY, NORTHCOTE, NEW ZEALAND, AUCKLAND, 0627","English","Pharmacology & Pharmacy | Clinical Neurology | Psychiatry"
"CNS & NEUROLOGICAL DISORDERS-DRUG TARGETS","1871-5273","1996-3181","BENTHAM SCIENCE PUBL","PO BOX 294, BUSUM, NETHERLANDS, 1400 AG","English","Pharmacology & Pharmacy | Neurosciences"
"CNS NEUROSCIENCE & THERAPEUTICS","1755-5930","1755-5949","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Pharmacology & Pharmacy | Neurosciences"
"COLD SPRING HARBOR PERSPECTIVES IN MEDICINE","2157-1422","2157-1422","COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","1 BUNGTOWN RD, COLD SPRING HARBOR, USA, NY, 11724","English","Medicine, Research & Experimental"
"COMPREHENSIVE PHYSIOLOGY","2040-4603","2040-4603","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030","English","Physiology"
"CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY","1040-9238","1549-7798","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Biochemistry & Molecular Biology"
"CRITICAL REVIEWS IN BIOMEDICAL ENGINEERING","0278-940X","1943-619X","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","","Engineering, Biomedical"
"CRITICAL REVIEWS IN BIOTECHNOLOGY","0738-8551","1549-7801","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Biotechnology & Applied Microbiology"
"CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES","1040-8363","1549-781X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Medical Laboratory Technology"
"CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY","1064-3389","1547-6537","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Environmental Sciences"
"CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION","1045-4403","2162-6502","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","English","Genetics & Heredity | Biotechnology & Applied Microbiology"
"CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION","1040-8398","1549-7852","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Nutrition & Dietetics | Food Science & Technology"
"CRITICAL REVIEWS IN IMMUNOLOGY","1040-8401","2162-6472","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","English","Immunology"
"CRITICAL REVIEWS IN MICROBIOLOGY","1040-841X","1549-7828","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Microbiology"
"CRITICAL REVIEWS IN ONCOGENESIS","0893-9675","2162-6448","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","","Oncology"
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","1040-8428","1879-0461","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Hematology | Oncology"
"CRITICAL REVIEWS IN PLANT SCIENCES","0735-2689","1549-7836","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Plant Sciences"
"CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS","0743-4863","2162-660X","BEGELL HOUSE INC","50 NORTH ST, DANBURY, USA, CT, 06810","English","Pharmacology & Pharmacy"
"CRITICAL REVIEWS IN TOXICOLOGY","1040-8444","1547-6898","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Toxicology"
"CURRENT ALZHEIMER RESEARCH","1567-2050","1875-5828","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","English","Clinical Neurology | Neurosciences"
"CURRENT EPIDEMIOLOGY REPORTS","2196-2995","2196-2995","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","","Public, Environmental & Occupational Health"
"CURRENT GENETIC MEDICINE REPORTS","2167-4876","2167-4876","SPRINGERNATURE","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","","Genetics & Heredity"
"CURRENT GENOMICS","1389-2029","1875-5488","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","English","Biochemistry & Molecular Biology | Genetics & Heredity"
"CURRENT HIV RESEARCH","1570-162X","1873-4251","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","English","Infectious Diseases | Immunology | Virology"
"CURRENT IMMUNOLOGY REVIEWS","1573-3955","1875-631X","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","","Immunology"
"CURRENT ISSUES IN MOLECULAR BIOLOGY","1467-3037","1467-3045","CAISTER ACAD PRESS","UNIT 7570, WAREHAM RD, PO BOX 7169, POOLE, ENGLAND, BH15 9EL","English","Biochemistry & Molecular Biology"
"CURRENT MOLECULAR PHARMACOLOGY","1874-4672","1874-4702","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","English","Pharmacology & Pharmacy | Biochemistry & Molecular Biology"
"CURRENT NEUROPHARMACOLOGY","1570-159X","1875-6190","BENTHAM SCIENCE PUBL LTD","EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR","English","Pharmacology & Pharmacy | Neurosciences"
"CURRENT OPINION IN BIOTECHNOLOGY","0958-1669","1879-0429","CURRENT BIOLOGY LTD","84 THEOBALDS RD, LONDON, ENGLAND, WC1X 8RR","English","Biochemical Research Methods | Biotechnology & Applied Microbiology"
"CURRENT OPINION IN CARDIOLOGY","0268-4705","1531-7080","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Cardiac & Cardiovascular Systems"
"CURRENT OPINION IN CELL BIOLOGY","0955-0674","1879-0410","CURRENT BIOLOGY LTD","84 THEOBALDS RD, LONDON, ENGLAND, WC1X 8RR","English","Cell Biology"
"CURRENT OPINION IN CHEMICAL BIOLOGY","1367-5931","1879-0402","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Biophysics | Biochemistry & Molecular Biology"
"CURRENT OPINION IN ENVIRONMENTAL SCIENCE & HEALTH","2468-5844","2468-5844","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","","Environmental Sciences | Public, Environmental & Occupational Health"
"CURRENT OPINION IN GENETICS & DEVELOPMENT","0959-437X","1879-0380","CURRENT BIOLOGY LTD","84 THEOBALDS RD, LONDON, ENGLAND, WC1X 8RR","English","Cell Biology | Genetics & Heredity"
