"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACADEMY OF MANAGEMENT JOURNAL","0001-4273","1948-0989","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Economics & Business"
"ACADEMY OF MANAGEMENT LEARNING & EDUCATION","1537-260X","1944-9585","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Economics & Business"
"ACADEMY OF MANAGEMENT PERSPECTIVES","1558-9080","1943-4529","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Economics & Business"
"ACADEMY OF MANAGEMENT REVIEW","0363-7425","1930-3807","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Economics & Business"
"ACAROLOGIA","0044-586X","2107-7207","ACAROLOGIA-UNIVERSITE PAUL VALERY","SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090","Multi-Language","Plant & Animal Science"
"ACCIDENT ANALYSIS AND PREVENTION","0001-4575","1879-2057","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Social Sciences, General"
"ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE","0898-9621","1545-5815","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Clinical Medicine"
"ACCOUNTING AND BUSINESS RESEARCH","0001-4788","2159-4260","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Economics & Business"
"ACCOUNTING AND FINANCE","0810-5391","1467-629X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics & Business"
"ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL","0951-3574","1758-4205","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Economics & Business"
"ACCOUNTING FORUM","0155-9982","1467-6303","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Economics & Business"
"ACCOUNTING HORIZONS","0888-7993","1558-7975","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Economics & Business"
"ACCOUNTING ORGANIZATIONS AND SOCIETY","0361-3682","1873-6289","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Economics & Business"
"ACCOUNTING REVIEW","0001-4826","1558-7967","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Economics & Business"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACCREDITATION AND QUALITY ASSURANCE","0949-1775","1432-0517","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Chemistry"
"ACI MATERIALS JOURNAL","0889-325X","1944-737X","AMER CONCRETE INST","38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331","English","Materials Science"
"ACI STRUCTURAL JOURNAL","0889-3241","1944-7361","AMER CONCRETE INST","38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331","English","Engineering"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE","1556-4673","1556-4711","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS","1550-4832","1550-4840","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM SIGCOMM COMPUTER COMMUNICATION REVIEW","0146-4833","1943-5819","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON ALGORITHMS","1549-6325","1549-6333","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON APPLIED PERCEPTION","1544-3558","1544-3965","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION","1544-3566","1544-3973","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING","2375-4699","2375-4702","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS","1556-4665","1556-4703","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC","1529-3785","1557-945X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION","1073-0516","1557-7325","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON COMPUTER SYSTEMS","0734-2071","1557-7333","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON COMPUTING EDUCATION","1946-6226","1946-6226","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON DATABASE SYSTEMS","0362-5915","1557-4644","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","1084-4309","1557-7309","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS","1539-9087","1558-3465","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON GRAPHICS","0730-0301","1557-7368","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON INFORMATION SYSTEMS","1046-8188","1558-2868","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY","2157-6904","2157-6912","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS","2160-6455","2160-6463","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON INTERNET TECHNOLOGY","1533-5399","1557-6051","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA","1556-4681","1556-472X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","0098-3500","1557-7295","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION","1049-3301","1558-1195","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS","1551-6857","1551-6865","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON PRIVACY AND SECURITY","2471-2566","2471-2574","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS","0164-0925","1558-4593","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS","1936-7406","1936-7414","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON SENSOR NETWORKS","1550-4859","1550-4867","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","1049-331X","1557-7392","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON STORAGE","1553-3077","1553-3093","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACM TRANSACTIONS ON THE WEB","1559-1131","1559-114X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science"
"ACOUSTICAL PHYSICS","1063-7710","1562-6865","PLEIADES PUBLISHING INC","PLEIADES HOUSE, 7 W 54 ST, NEW YORK, United States,  NY, 10019","English","Physics"
"ACOUSTICS AUSTRALIA","0814-6039","1839-2571","SPRINGER SINGAPORE PTE LTD","#04-01 CENCON I, 1 TANNERY RD, SINGAPORE, SINGAPORE, 347719","English","Physics"
"ACROSS LANGUAGES AND CULTURES","1585-1923","1588-2519","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Social Sciences, General"
"ACS APPLIED ELECTRONIC MATERIALS","2637-6113","2637-6113","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science"
"ACS APPLIED ENERGY MATERIALS","2574-0962","2574-0962","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science"
"ACS APPLIED MATERIALS & INTERFACES","1944-8244","1944-8252","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science"
"ACS APPLIED NANO MATERIALS","2574-0970","2574-0970","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science"
"ACS APPLIED POLYMER MATERIALS","2637-6105","2637-6105","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science"
"ACS BIOMATERIALS SCIENCE & ENGINEERING","2373-9878","2373-9878","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science"
"ACS CATALYSIS","2155-5435","2155-5435","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS CENTRAL SCIENCE","2374-7943","2374-7951","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS CHEMICAL BIOLOGY","1554-8929","1554-8937","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Biology & Biochemistry"
"ACS CHEMICAL NEUROSCIENCE","1948-7193","1948-7193","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Neuroscience & Behavior"
"ACS COMBINATORIAL SCIENCE","2156-8952","2156-8944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS EARTH AND SPACE CHEMISTRY","2472-3452","2472-3452","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS ENERGY LETTERS","2380-8195","2380-8195","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science"
"ACS INFECTIOUS DISEASES","2373-8227","2373-8227","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Pharmacology & Toxicology"
"ACS MACRO LETTERS","2161-1653","2161-1653","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS MATERIALS LETTERS","2639-4979","2639-4979","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science"
"ACS MEDICINAL CHEMISTRY LETTERS","1948-5875","1948-5875","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACSMS HEALTH & FITNESS JOURNAL","1091-5397","1536-593X","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Clinical Medicine"
"ACS NANO","1936-0851","1936-086X","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science"
"ACS OMEGA","2470-1343","2470-1343","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS PHOTONICS","2330-4022","2330-4022","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Physics"
"ACS SENSORS","2379-3694","2379-3694","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS SUSTAINABLE CHEMISTRY & ENGINEERING","2168-0485","2168-0485","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS SYNTHETIC BIOLOGY","2161-5063","2161-5063","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Biology & Biochemistry"
"ACTA ACUSTICA","1610-1928","2681-4617","EDP SCIENCES S A","17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944","English","Physics"
"ACTA ADRIATICA","0001-5113","1846-0453","INST OCEANOGRAFIJU I RIBARSTVO","SETALISTE I MESTROVICA 63, SPLIT, CROATIA, 21000","Multi-Language","Plant & Animal Science"
"ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE","0906-4702","1651-1972","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154","English","Plant & Animal Science"
"ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE","0906-4710","1651-1913","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154","English","Agricultural Sciences"
"ACTA ALIMENTARIA","0139-3006","1588-2535","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Agricultural Sciences"
"ACTA AMAZONICA","0044-5967","1809-4392","INST NACIONAL PESQUISAS AMAZONIA","CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS, 00000","English, Portuguese, Spanish","Environment/Ecology"
"ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172","1399-6576","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Clinical Medicine"
"ACTA APPLICANDAE MATHEMATICAE","0167-8019","1572-9036","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Mathematics"
"ACTA ARITHMETICA","0065-1036","1730-6264","POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN","8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656","Multi-Language","Mathematics"
"ACTA ASTRONAUTICA","0094-5765","1879-2030","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","Multi-Language","Engineering"
"ACTA ASTRONOMICA","0001-5237","0001-5237","COPERNICUS FOUNDATION POLISH  ASTRONOMY","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478","English","Space Science"
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA","1672-9145","1745-7270","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Biology & Biochemistry"
"ACTA BIOCHIMICA POLONICA","0001-527X","1734-154X","ACTA BIOCHIMICA POLONICA","PASTEURA 3, WARSAW, POLAND, 02-093","English","Biology & Biochemistry"
"ACTA BIOETHICA","1726-569X","1726-569X","UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA","DIAGONAL PARAGUAY #265, TORRE 15, PISO 8, SANTIAGO, CHILE, 00000","English, Portuguese, Spanish","Social Sciences, General"
"ACTA BIOLOGICA COLOMBIANA","1900-1649","1900-1649","UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL","APARTADO AEREO 14490, BOGOTA, COLOMBIA, 00000","Spanish, English, Portuguese","Plant & Animal Science"
"ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA","0001-5296","1898-0295","POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW","PL DEFILAD 1, WARSZAWA, POLAND, 00-901","English","Plant & Animal Science"
"ACTA BIOMATERIALIA","1742-7061","1878-7568","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Materials Science"
"ACTA BIOQUIMICA CLINICA LATINOAMERICANA","0325-2957","1851-6114","FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES","CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900","Spanish","Chemistry"
"ACTA BIOTHEORETICA","0001-5342","1572-8358","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Biology & Biochemistry"
"ACTA BOTANICA BRASILICA","0102-3306","1677-941X","SOC BOTANICA BRASIL","CAIXA POSTAL 3005, SAO PAULO SP, BRAZIL, 01061-970","Portuguese, English","Plant & Animal Science"
"ACTA BOTANICA CROATICA","0365-0588","1847-8476","UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY","C/O DAMIR VILICIC, EDITOR-IN-CHIEF, DEPARTMENT OF BOTANY, ROOSEVELTOV TRG 6, ZAGREB, Croatia,  , 10000","English","Plant & Animal Science"
"ACTA BOTANICA MEXICANA","0187-7151","2448-7589","INST ECOLOGIA AC","CENTRO REGIONAL DEL BAJIO, APARTADO POSTAL 386, PATZCUARO, MEXICO, MICHOACAN, 61600","Spanish","Plant & Animal Science"
"ACTA CARDIOLOGICA","0001-5385","1784-973X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Clinical Medicine"
"ACTA CARDIOLOGICA SINICA","1011-6842","","TAIWAN SOC CARDIOLOGY","13F-1, NO. 11, MIN-CHUAN WEST ROAD, TAIPEI, TAIWAN, 104","English","Clinical Medicine"
"ACTA CARSOLOGICA","0583-6050","1580-2612","KARST RESEARCH INST ZRC SAZU","TITOV TRG 2, POSTOJNA, SLOVENIA, SI-6230","Slovenian","Geosciences"
"ACTA CHIMICA SINICA","0567-7351","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","Chinese","Chemistry"
"ACTA CHIMICA SLOVENICA","1318-0207","1580-3155","SLOVENSKO KEMIJSKO DRUSTVO","HAJDRIHOVA 19, LJUBLJANA, SLOVENIA, 1000","English","Chemistry"
"ACTA CHIROPTEROLOGICA","1508-1109","1733-5329","MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES","WILCZA STREET 64, WARSAW, POLAND, 00-679","English","Plant & Animal Science"
"ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA","0001-5415","","GALEN SRO","NA BELIDLE 34, PRAGUE 5, CZECH REPUBLIC, 150 00","Czech","Clinical Medicine"
"ACTA CHIRURGICA BELGICA","0001-5458","0001-5458","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","Multi-Language","Clinical Medicine"
"ACTA CHROMATOGRAPHICA","1233-2356","2083-5736","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Chemistry"
"ACTA CIRURGICA BRASILEIRA","0102-8650","1678-2674","ACTA CIRURGICA BRASILEIRA","ALAMEDA RIO CLARO, 179-41, SAO PAULO, BRAZIL, SP, 01332-010","English","Clinical Medicine"
"ACTA CLINICA BELGICA","1784-3286","2295-3337","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Clinical Medicine"
"ACTA CLINICA CROATICA","0353-9466","1333-9451","SESTRE MILOSRDNICE UNIV HOSPITAL","VINOGRADSKA C 29, ZAGREB, CROATIA, HR-10000","English","Clinical Medicine"
"ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES","2053-2733","2053-2733","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Chemistry"
"ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS","2052-5206","2052-5206","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Chemistry"
"ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY","2053-2296","2053-2296","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Chemistry"
"ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY","2059-7983","2059-7983","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Molecular Biology & Genetics"
