Title,Title20,Country/Region,SCIE,SSCI
ACI STRUCTURAL JOURNAL,ACI STRUCT J,UNITED STATES,Yes,
ACM COMPUTING SURVEYS,ACM COMPUT SURV,UNITED STATES,Yes,
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,UNITED STATES,Yes,
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,UNITED STATES,Yes,
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,UNITED STATES,Yes,
ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,UNITED STATES,Yes,
ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,UNITED STATES,Yes,
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,UNITED STATES,Yes,
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,UNITED STATES,Yes,
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM T AUTON ADAP SYS,UNITED STATES,Yes,
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,UNITED STATES,Yes,
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,UNITED STATES,Yes,
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,UNITED STATES,Yes,
ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,UNITED STATES,Yes,
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,UNITED STATES,Yes,
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,UNITED STATES,Yes,
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,UNITED STATES,Yes,
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,UNITED STATES,Yes,
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,UNITED STATES,Yes,
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,UNITED STATES,Yes,
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ACM T INTERACT INTEL,UNITED STATES,Yes,
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,UNITED STATES,Yes,
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,UNITED STATES,Yes,
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,UNITED STATES,Yes,
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,UNITED STATES,Yes,
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,UNITED STATES,Yes,
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM T PRIV SECUR,UNITED STATES,Yes,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,UNITED STATES,Yes,
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,UNITED STATES,Yes,
ACM TRANSACTIONS ON SENSOR NETWORKS,ACM T SENSOR NETWORK,UNITED STATES,Yes,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,UNITED STATES,Yes,
ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,UNITED STATES,Yes,
ACM TRANSACTIONS ON THE WEB,ACM T WEB,UNITED STATES,Yes,
ACOUSTICAL PHYSICS,ACOUST PHYS+,RUSSIA,Yes,
ACOUSTICS AUSTRALIA,ACOUST AUST,AUSTRALIA,Yes,
ACROSS LANGUAGES AND CULTURES,ACROSS LANG CULT,HUNGARY,,Yes
ACS APPLIED ENERGY MATERIALS,ACS APPL ENERG MATER,UNITED STATES,Yes,
ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,UNITED STATES,Yes,
ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS BIOMATER SCI ENG,UNITED STATES,Yes,
ACS CATALYSIS,ACS CATAL,UNITED STATES,Yes,
ACS CENTRAL SCIENCE,ACS CENTRAL SCI,UNITED STATES,Yes,
ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,UNITED STATES,Yes,
ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,UNITED STATES,Yes,
ACS COMBINATORIAL SCIENCE,ACS COMB SCI,UNITED STATES,Yes,
ACS EARTH AND SPACE CHEMISTRY,ACS EARTH SPACE CHEM,UNITED STATES,Yes,
ACS ENERGY LETTERS,ACS ENERGY LETT,UNITED STATES,Yes,
ACS INFECTIOUS DISEASES,ACS INFECT DIS,UNITED STATES,Yes,
ACS MACRO LETTERS,ACS MACRO LETT,UNITED STATES,Yes,
ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,UNITED STATES,Yes,
ACS NANO,ACS NANO,UNITED STATES,Yes,
ACS OMEGA,ACS OMEGA,UNITED STATES,Yes,
ACS PHOTONICS,ACS PHOTONICS,UNITED STATES,Yes,
ACS SENSORS,ACS SENSORS,UNITED STATES,Yes,
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,UNITED STATES,Yes,
ACS SYNTHETIC BIOLOGY,ACS SYNTH BIOL,UNITED STATES,Yes,
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,UNITED STATES,Yes,
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,GERMANY,Yes,
ACTA ADRIATICA,ACTA ADRIAT,CROATIA,Yes,
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,NORWAY,Yes,
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,NORWAY,Yes,
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,HUNGARY,Yes,
ACTA AMAZONICA,ACTA AMAZON,BRAZIL,Yes,
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,DENMARK,Yes,
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,NETHERLANDS,Yes,
ACTA ARITHMETICA,ACTA ARITH,POLAND,Yes,
ACTA ASTRONAUTICA,ACTA ASTRONAUT,UNITED STATES,Yes,
ACTA ASTRONOMICA,ACTA ASTRONOM,POLAND,Yes,
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,PEOPLES R CHINA,Yes,
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,POLAND,Yes,
ACTA BIOETHICA,ACTA BIOETH,CHILE,Yes,Yes
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,COLOMBIA,Yes,
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,POLAND,Yes,
ACTA BIOLOGICA HUNGARICA,ACTA BIOL HUNG,HUNGARY,Yes,
ACTA BIOMATERIALIA,ACTA BIOMATER,ENGLAND,Yes,
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,ARGENTINA,Yes,
ACTA BIOTHEORETICA,ACTA BIOTHEOR,NETHERLANDS,Yes,
ACTA BOTANICA BRASILICA,ACTA BOT BRAS,BRAZIL,Yes,
ACTA BOTANICA CROATICA,ACTA BOT CROAT,CROATIA,Yes,
ACTA BOTANICA MEXICANA,ACTA BOT MEX,MEXICO,Yes,
ACTA CARDIOLOGICA,ACTA CARDIOL,BELGIUM,Yes,
ACTA CARSOLOGICA,ACTA CARSOLOGICA,SLOVENIA,Yes,
ACTA CHIMICA SINICA,ACTA CHIM SINICA,PEOPLES R CHINA,Yes,
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,SLOVENIA,Yes,
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,POLAND,Yes,
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,ACTA CHIR ORTHOP TR,CZECH REPUBLIC,Yes,
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,BELGIUM,Yes,
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,POLAND,Yes,
ACTA CIRURGICA BRASILEIRA,ACTA CIR BRAS,BRAZIL,Yes,
ACTA CLINICA BELGICA,ACTA CLIN BELG,ENGLAND,Yes,
ACTA CLINICA CROATICA,ACTA CLIN CROAT,CROATIA,Yes,
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ACTA CRYSTALLOGR A,ENGLAND,Yes,
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ACTA CRYSTALLOGR B,ENGLAND,Yes,
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,ENGLAND,Yes,
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ACTA CRYSTALLOGR D,ENGLAND,Yes,
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,ACTA CRYSTALLOGR F,DENMARK,Yes,
ACTA CYTOLOGICA,ACTA CYTOL,SWITZERLAND,Yes,
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,NORWAY,Yes,
ACTA DERMATOVENEROLOGICA CROATICA,ACTA DERMATOVENER CR,CROATIA,Yes,
ACTA DIABETOLOGICA,ACTA DIABETOL,ITALY,Yes,
ACTA ENDOCRINOLOGICA-BUCHAREST,ACTA ENDOCRINOL-BUCH,ROMANIA,Yes,
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,CZECH REPUBLIC,Yes,
ACTA ETHOLOGICA,ACTA ETHOL,GERMANY,Yes,
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,BELGIUM,Yes,
ACTA GEODAETICA ET GEOPHYSICA,ACTA GEOD GEOPHYS,HUNGARY,Yes,
ACTA GEODYNAMICA ET GEOMATERIALIA,ACTA GEODYN GEOMATER,CZECH REPUBLIC,Yes,
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,ACTA GEOGR SLOV,SLOVENIA,Yes,
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,POLAND,Yes,
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,PEOPLES R CHINA,Yes,
ACTA GEOPHYSICA,ACTA GEOPHYS,POLAND,Yes,
ACTA GEOTECHNICA,ACTA GEOTECH,GERMANY,Yes,
ACTA GEOTECHNICA SLOVENICA,ACTA GEOTECH SLOV,SLOVENIA,Yes,
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,SWITZERLAND,Yes,
ACTA HERPETOLOGICA,ACTA HERPETOL,ITALY,Yes,
ACTA HISTOCHEMICA,ACTA HISTOCHEM,GERMANY,Yes,
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,JAPAN,Yes,
ACTA HISTRIAE,ACTA HISTRIAE,SLOVENIA,,Yes
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,POLAND,Yes,
ACTA INFORMATICA,ACTA INFORM,GERMANY,Yes,
ACTA LINGUISTICA HUNGARICA,ACTA LINGUIST HUNGAR,HUNGARY,,Yes
ACTA MATERIALIA,ACTA MATER,UNITED STATES,Yes,
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,SWEDEN,Yes,
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,HUNGARY,Yes,
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,PEOPLES R CHINA,Yes,
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,PEOPLES R CHINA,Yes,
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ACTA MATH APPL SIN-E,PEOPLES R CHINA,Yes,
ACTA MECHANICA,ACTA MECH,AUSTRIA,Yes,
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,PEOPLES R CHINA,Yes,
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,PEOPLES R CHINA,Yes,
ACTA MEDICA MEDITERRANEA,ACTA MEDICA MEDITERR,ITALY,Yes,
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,JAPAN,Yes,
ACTA MEDICA PORTUGUESA,ACTA MEDICA PORT,PORTUGAL,Yes,
ACTA METALLURGICA SINICA,ACTA METALL SIN,PEOPLES R CHINA,Yes,
ACTA METALLURGICA SINICA-ENGLISH LETTERS,ACTA METALL SIN-ENGL,PEOPLES R CHINA,Yes,
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,HUNGARY,Yes,
ACTA MICROSCOPICA,ACTA MICROSC,VENEZUELA,Yes,
ACTA MONTANISTICA SLOVACA,ACTA MONTAN SLOVACA,SLOVAKIA,Yes,
ACTA NATURAE,ACTA NATURAE,RUSSIA,Yes,
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,POLAND,Yes,
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,AUSTRIA,Yes,
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,BELGIUM,Yes,
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,DENMARK,Yes,
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,GERMANY,Yes,
ACTA NEUROPATHOLOGICA COMMUNICATIONS,ACTA NEUROPATHOL COM,ENGLAND,Yes,
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,DENMARK,Yes,
ACTA NUMERICA,ACTA NUMER,UNITED STATES,Yes,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,DENMARK,Yes,
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,PEOPLES R CHINA,Yes,
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,ENGLAND,Yes,
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,NETHERLANDS,Yes,
ACTA OECONOMICA,ACTA OECON,HUNGARY,,Yes
ACTA OF BIOENGINEERING AND BIOMECHANICS,ACTA BIOENG BIOMECH,POLAND,Yes,
ACTA ONCOLOGICA,ACTA ONCOL,ENGLAND,Yes,
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,DENMARK,Yes,
ACTA ORNITHOLOGICA,ACTA ORNITHOL,POLAND,Yes,
ACTA ORTHOPAEDICA,ACTA ORTHOP,ENGLAND,Yes,
ACTA ORTHOPAEDICA BELGICA,ACTA ORTHOP BELG,BELGIUM,Yes,
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,ACTA ORTHOP TRAUMATO,TURKEY,Yes,
ACTA ORTOPEDICA BRASILEIRA,ACTA ORTOP BRAS,BRAZIL,Yes,
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,NORWAY,Yes,
ACTA OTORHINOLARYNGOLOGICA ITALICA,ACTA OTORHINOLARYNGO,ITALY,Yes,
ACTA PAEDIATRICA,ACTA PAEDIATR,DENMARK,Yes,
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,POLAND,Yes,
ACTA PARASITOLOGICA,ACTA PARASITOL,POLAND,Yes,
ACTA PAULISTA DE ENFERMAGEM,ACTA PAUL ENFERM,BRAZIL,Yes,Yes
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,PEOPLES R CHINA,Yes,
ACTA PHARMACEUTICA,ACTA PHARMACEUT,CROATIA,Yes,
ACTA PHARMACEUTICA SINICA B,ACTA PHARM SIN B,PEOPLES R CHINA,Yes,
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,ENGLAND,Yes,
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,POLAND,Yes,
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,POLAND,Yes,
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,PEOPLES R CHINA,Yes,
ACTA PHYSICA SLOVACA,ACTA PHYS SLOVACA,SLOVAKIA,Yes,
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,PEOPLES R CHINA,Yes,
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,GERMANY,Yes,
ACTA PHYSIOLOGICA,ACTA PHYSIOL,ENGLAND,Yes,
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,ACTA PHYTOTAX GEOBOT,JAPAN,Yes,
ACTA POLITICA,ACTA POLIT,NETHERLANDS,,Yes
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,POLAND,Yes,
ACTA POLYMERICA SINICA,ACTA POLYM SIN,PEOPLES R CHINA,Yes,
ACTA POLYTECHNICA HUNGARICA,ACTA POLYTECH HUNG,HUNGARY,Yes,
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,POLAND,Yes,
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,ENGLAND,Yes,Yes
ACTA PSYCHOLOGICA,ACTA PSYCHOL,NETHERLANDS,,Yes
ACTA RADIOLOGICA,ACTA RADIOL,ENGLAND,Yes,
ACTA REUMATOLOGICA PORTUGUESA,ACTA REUMATOL PORT,PORTUGAL,Yes,
ACTA SCIENTIAE VETERINARIAE,ACTA SCI VET,BRAZIL,Yes,
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,ACTA SCI POL-HORTORU,POLAND,Yes,
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,BRAZIL,Yes,
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,BRAZIL,Yes,
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,POLAND,Yes,
ACTA SOCIOLOGICA,ACTA SOCIOL,ENGLAND,,Yes
ACTA TROPICA,ACTA TROP,NETHERLANDS,Yes,
ACTA VETERINARIA BRNO,ACTA VET BRNO,CZECH REPUBLIC,Yes,
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,HUNGARY,Yes,
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,DENMARK,Yes,
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,POLAND,Yes,
ACTA VIROLOGICA,ACTA VIROL,SLOVAKIA,Yes,
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,ENGLAND,Yes,
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,HUNGARY,Yes,
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,BULGARIA,Yes,
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,SPAIN,Yes,
ACTAS UROLOGICAS ESPANOLAS,ACTAS UROL ESP,SPAIN,Yes,
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,FRANCE,,Yes
ACTION RESEARCH,ACTION RES-LONDON,ENGLAND,,Yes
ACTIVE LEARNING IN HIGHER EDUCATION,ACT LEARN HIGH EDUC,UNITED STATES,,Yes
ACTUATORS,ACTUATORS,SWITZERLAND,Yes,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,UNITED STATES,Yes,
ACUPUNCTURE IN MEDICINE,ACUPUNCT MED,ENGLAND,Yes,
AD HOC & SENSOR WIRELESS NETWORKS,AD HOC SENS WIREL NE,UNITED STATES,Yes,
AD HOC NETWORKS,AD HOC NETW,NETHERLANDS,Yes,
ADANSONIA,ADANSONIA,FRANCE,Yes,
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,UNITED STATES,Yes,
ADAPTIVE BEHAVIOR,ADAPT BEHAV,ENGLAND,Yes,Yes
ADDICTION,ADDICTION,ENGLAND,Yes,Yes
ADDICTION BIOLOGY,ADDICT BIOL,ENGLAND,Yes,
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,ENGLAND,,Yes
ADDICTION SCIENCE & CLINICAL PRACTICE,ADDICT SCI CLIN PRAC,ENGLAND,Yes,Yes
ADDICTIVE BEHAVIORS,ADDICT BEHAV,ENGLAND,Yes,Yes
ADDITIVE MANUFACTURING,ADDIT MANUF,NETHERLANDS,Yes,
ADIPOCYTE,ADIPOCYTE,UNITED STATES,Yes,
ADMINISTRATION & SOCIETY,ADMIN SOC,UNITED STATES,,Yes
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,ADM POLICY MENT HLTH,UNITED STATES,,Yes
ADMINISTRATIVE LAW REVIEW,ADMIN LAW REV,UNITED STATES,,Yes
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,UNITED STATES,,Yes
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,UNITED STATES,Yes,
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,UNITED STATES,Yes,
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,UNITED STATES,,Yes
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,ENGLAND,Yes,
ADVANCED COMPOSITES LETTERS,ADV COMPOS LETT,ENGLAND,Yes,
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,NETHERLANDS,Yes,
ADVANCED ELECTRONIC MATERIALS,ADV ELECTRON MATER,GERMANY,Yes,
ADVANCED ENERGY MATERIALS,ADV ENERGY MATER,GERMANY,Yes,
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,ENGLAND,Yes,
ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,GERMANY,Yes,
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,GERMANY,Yes,
ADVANCED HEALTHCARE MATERIALS,ADV HEALTHC MATER,ENGLAND,Yes,
ADVANCED MATERIALS,ADV MATER,GERMANY,Yes,
ADVANCED MATERIALS & PROCESSES,ADV MATER PROCESS,UNITED STATES,Yes,
ADVANCED MATERIALS INTERFACES,ADV MATER INTERFACES,GERMANY,Yes,
ADVANCED MATERIALS TECHNOLOGIES,ADV MATER TECHNOL-US,UNITED STATES,Yes,
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,UNITED STATES,Yes,
ADVANCED OPTICAL MATERIALS,ADV OPT MATER,GERMANY,Yes,
ADVANCED POWDER TECHNOLOGY,ADV POWDER TECHNOL,JAPAN,Yes,
ADVANCED ROBOTICS,ADV ROBOTICS,ENGLAND,Yes,
ADVANCED SCIENCE,ADV SCI,UNITED STATES,Yes,
ADVANCED STEEL CONSTRUCTION,ADV STEEL CONSTR,PEOPLES R CHINA,Yes,
ADVANCED SUSTAINABLE SYSTEMS,ADV SUSTAIN SYST,GERMANY,Yes,
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,GERMANY,Yes,
ADVANCED THEORY AND SIMULATIONS,ADV THEOR SIMUL,GERMANY,Yes,
ADVANCEMENTS OF MICROBIOLOGY,ADV MICROBIOL-NY,POLAND,Yes,
ADVANCES IN AGRONOMY,ADV AGRON,UNITED STATES,Yes,
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,UNITED STATES,Yes,
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,ADV ANAT EMBRYOL CEL,UNITED STATES,Yes,
ADVANCES IN APPLIED CERAMICS,ADV APPL CERAM,ENGLAND,Yes,
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,ADV APPL CLIFFORD AL,SWITZERLAND,Yes,
